,Accuracy,Macro_Precision,Macro_Recall,Macro_F1
FUSÃO (Regra da Soma),0.706,0.7068192392228586,0.7062806280628062,0.7058702887973596
k-NN,0.7205,0.7214448707339702,0.7207970797079708,0.7203584314559246
SVM,0.6455,0.6514881879254348,0.6464296429642964,0.6428275464091197
