,precision,recall,f1-score,support
Sintetico,0.7225738396624473,0.6782178217821783,0.6996935648621042,1010.0
Natural,0.69106463878327,0.7343434343434343,0.7120470127326151,990.0
accuracy,0.706,0.706,0.706,0.706
macro avg,0.7068192392228586,0.7062806280628062,0.7058702887973596,2000.0
weighted avg,0.7069767852272545,0.706,0.705808521558007,2000.0
